,Comment,Category Comment,Target_type
38,years lateryoure watching this youre legend,positive,1
39,how many people are watching this in april,neutral,0
40,years laterif youre watching this youre legend,positive,1
41,the people who like this comment is officially before views,neutral,0
42,just imagine who is here everyday,neutral,0
43,this guy never sings just talks the words no real musicand hes made lots of doshwhy,negative,2
44,listening to this to remember the old days where corona only was drink,positive,1
45,this song gives us new taste everyday in everytime and everymoment,positive,1
46,the people who liked this comment are officially before billion,neutral,0
47,the people who liked this comment are officially before billion views,neutral,0
48,people who like this comment are officially licensed to be before billion,neutral,0
49,dont worry youre not the only one watching this during quarantine,positive,1
50,dont asking how watching this in beacuse we never left,positive,1
51,whoever likes this is offically here before milliard views,neutral,0
52,feel like everybody relistening to them old songs,neutral,0
53,love how before ed sheeran was talking about stitches lol,positive,1
54,at my funeral want someone to play this tune on the marimba,positive,1
55,if you read this merry christmas,positive,1
56,pray who ever reads this becomes successful,positive,1
57,the million people who disliked this song must have had their phone upside down lmao,negative,2
58,everyone who is reading this pray for your good health stay happy stay safe take care,positive,1
59,lets be honest this song is better than despacito,positive,1
60,red hair second hand clothes he must be weasly,neutral,0
61,who else is tryna find videos with multiple billions of views,neutral,0
62,know one day my comment will get lost in this comment section but if someone sees thismay you live happy life forever,positive,1
63,years later if your watching this your legend,positive,1
64,only song capable of surpassing despacito that melody it hits beauty of ed sheeran,positive,1
65,if your watching this now your legend,positive,1
66,how many ledgends are listening to this masterpiece in september,positive,1
67,one person who reading this become billionaire,positive,1
68,listened to this song again during quarantine this nostalgia brings calm,positive,1
69,this song was for everyone everyone that passed away and legends that passed away,positive,1
70,we love paul walker,positive,1
71,fun fact this song has reached over half of the world mad,positive,1
72,lets be honest this song is still legendary,positive,1
73,the race of life ended and the winner got to olympus paul walker became one of the gods,positive,1
74,the only person in the world who hasnt heard this song is paul walker himself rip,neutral,0
75,dont worry the dislikes are australians that trying to like,positive,1
76,anyone who is paul walker fan and like this song for him,positive,1
77,for the people who disliked that is not the download button,negative,2
78,its and this song still touches my heart everytime,positive,1
79,still dont know why lot of people disliked this video,neutral,0
80,great song,positive,1
81,who ever reading this become successful in life,positive,1
82,my girlfriend said this song sucked now shes single,negative,2
83,will never forget about this song,positive,1
84,salute to paul walker kobe bryant chadwick boseman and to all people who are dead because of this pandemic,positive,1
85,for the wages of sin is death but the gift of god is eternal life in christ jesus our lord,positive,1
86,why there is dislike button for this masterpiece,positive,1
87,rip paul walker and kobe bryant mamba forever,positive,1
88,chadwick boseman didnt die his just shooting black panther in heaven,positive,1
89,this song hit my nerves when lost cousin friend rip james,positive,1
90,if youre listening this song in this horrible year youre legend,positive,1
91,paul walker doesnt die hes waiting in finish line,positive,1
92,the people who disliked have no hearts,negative,2
93,human die only when all forgot about himfor paulhe will never diehe will always be in our hearts,positive,1
94,it is confirmed that the people who disliked this masterpiece are not human,negative,2
95,everyone who liked this comment was officially here before billion,neutral,0
96,paul is not dead he is at the finish line with his friends waiting for us,positive,1
97,dear stranger who ever reads this may your mother live for more than years,positive,1
98,rip kobe bryant gigi bryant and all other passengers that were tragically killed they all will be joining another world with paul walker,positive,1
99,this song is not just song its feelings,positive,1
100,the comments are so recent because we all need this song right now especially,positive,1
101,can we just take time and appreciate that tiktok didnt ruin this song,positive,1
102,million comments if you find mine you are legend,positive,1
103,dont ask whos here in because we never left,positive,1
104,bet all my money they they people who made this cried million times,positive,1
105,my lockdown days are going good with this song,positive,1
106,this always puts me in good mood no matter what,positive,1
107,dont believe me just watch,neutral,0
108,cant be the only one who thought this was bruno mars song,neutral,0
109,did you notice that lot of super popular songs were released in,positive,1
110,lets be honest this song wasnt in your recommended you searched for it,neutral,0
111,respect all opinions except the ones that say this song sucks,neutral,0
112,this is all we play in gym class because slay bruno,positive,1
113,bruno mars is like our generations michael jackson,positive,1
114,im too hot,neutral,0
115,everybody has danced to this like at least once,neutral,0
116,only people who didnt hear this in tiktok can like,neutral,0
117,just imagine how many people come here every day,neutral,0
118,people who like this comment are officially before billions views,neutral,0
119,how many legends are watching this in,positive,1
120,the people who disliked are from the town,negative,2
121,hello future people im here in coronavirus time,neutral,0
122,years later you are watching this youre legend,positive,1
123,lets take moment of happiness because this song has not been ruined by tik tok yet,neutral,0
124,who are listening this song in and still you feel like its brand new song,positive,1
125,this song going to lift your spirit high,positive,1
126,ok wait just noticed this song is from this guy mark ronson and is in his youtube channel all this time thought bruno was the only singer for this song lol,neutral,0
127,can you imagine him and chris brown having dance thingie,neutral,0
128,this song makes me believe that the king of pop came back to life,positive,1
129,this song is so iconic remember this playing on the radio every mins sitting in the backseat going to the store or party,positive,1
130,if michael jackson was still alive then collab with him and bruno mars would be amazing,positive,1
131,when was kid used to think that he is michael jackson,positive,1
132,remember when everybody was saying this is the new michael jackson,positive,1
133,whos here randomly just to hear all nostalgia songs,neutral,0
134,always thought this song just belonged to bruno mars,neutral,0
135,when everyone gets out after covid,positive,1
136,this was like the old town road of the good days,positive,1
137,love how bruno mars just hijacked and overshadowed the other guy,positive,1
138,cant believe he was featured he did all the dm singing,positive,1
139,when we listened to this as kids we felt classy,positive,1
140,only people who are not from tiktok can like this comment,negative,2
141,the people who liked this comment is officially before,neutral,0
142,that dude just literally channeled whole decade of music thats boss,positive,1
143,who didnt know that bruno mars was when he did this,neutral,0
144,they are such legend when they die eyerbody will be sad because this song is the best ever,positive,1
145,anyone else listening while at home hiding from corona,neutral,0
146,life was so different when this came out god bless everyone better days are coming,positive,1
147,reading some comments youtube has been infiltrated by nothingness why cant we just all try to enjoy this effed up year,positive,1
148,if your watching this on your legend,positive,1
149,this guy has michael jackson in him,positive,1
150,who here is watching in wishing that life was as simple as it was back when this video was made,positive,1
151,came back here again after listening to haachamas singing stream,positive,1
152,this song is basically the first kpop song you listened to,positive,1
153,who came here because this randomly crossed your mind,neutral,0
154,remember when everyone used to sing this back in second grade,positive,1
155,this song prooved that nobody cares about the lyrics,positive,1
156,funny how the newest comments have the most likesyeahquarantine,positive,1
157,really love and like this song very much do you love and like like me,positive,1
158,is it only me who is trying find year old comments,neutral,0
159,listening this because nothing to do quarantine days,positive,1
160,lets see how many people are watching this in september,neutral,0
161,this is place where all kpop lovers and non kpop lovers meet,positive,1
162,years later and this song still feels like bop,positive,1
163,the person that first commented on this video must feel like the king of the world,positive,1
164,psy must still be vibing the money off of this song even after years,positive,1
165,years later if youre watching this then youre legend,positive,1
166,cant believe its years since that song came out,positive,1
167,this guy technically ruled the world for time,positive,1
168,can you translate this song plz,positive,1
169,who else remembers the time when youtube was only parodies of this song,positive,1
170,idk if anything is changed but for years this was one of the most hated song cauze how many times we heard it dis this changed yet,negative,2
171,remember when my cousin would sleepover and would annoy him all night with this song,positive,1
172,sometimes forget this song exists and then it randomly gets stuck in my head for months,positive,1
173,this killed billion brain cells from everyone who watched it,positive,1
174,getting your comments liked on here is like rolling with billionaires compared to other videos,positive,1
175,the question is how many came back to see if other people came back to see how many views this video has got,positive,1
176,this was everyones first taste of kpop without really knowing it as kids,positive,1
177,why cant we go back to this era of good music,positive,1
178,no youre not the only one watching this in quarantine,positive,1
179,this song was more overplayed than despacito but no one gets annoyed by it thats how good it is,positive,1
180,this is king jon un whatever hia name was before he was president,positive,1
181,my year old self didnt know this was kpop,neutral,0
182,dont know the language itself but this songs attracts me why,positive,1
183,yea just realized still dont know the lyrics,neutral,0
184,just like koreans their songs too never gets old,positive,1
185,when the world ends this is the song that plays during the credits,positive,1
186,think how we still like it but its boring in quarantine we have not something to do,neutral,0
187,whoever disliked this song may god remove you from depression asap,neutral,0
188,if youtube took this down my child hood will be ruind lol,positive,1
189,who is here in just because it randomly cross your mind,neutral,0
190,the moment you realized you didnt see his eyes the whole mv,neutral,0
191,the little kid at the start of the video is probably teenager now,positive,1
192,love you all viewers,positive,1
193,lets see how many peoples watching this in september,neutral,0
194,cant stop listening to this song,positive,1
195,just imagine how many people come here evetyday,neutral,0
196,pray this who ever read this become successful,positive,1
197,justin is great man he doesnt deserve any hate the guy literally minds his own business,positive,1
198,heard this song like recently time flies still cant believe its been years now,positive,1
199,everyone literally everyone is watching it again in quarantine,positive,1
200,came here after listening yummy to remind myself whats justins best,positive,1
201,dont worry you are not only one listening to this masterpiece on,positive,1
202,justin keep this type of music coming,positive,1
203,pray who ever see this comment becomes successful,positive,1
204,my name is madalitso mom has this song and dance,positive,1
205,still cannot believe that this song is years old now time flies,positive,1
206,can this legend most adorable young artist came back again,positive,1
207,still remember when me and my cousins are trying to choose our fave out of the girls,positive,1
208,if this is an apology for yummy then apology accepted,positive,1
209,who still here in,neutral,0
210,listen it more than million times and still cannot understand any move,neutral,0
211,lets be honest here this guy owned the world for while,positive,1
212,yes its too late justin its too late,neutral,0
213,my girlfriend says this song sucked now shes single,negative,2
214,whos here after the popstar music video,positive,1
215,pray who reads this may became billionaire one day,positive,1
216,years later if youre still watching this youre legend,positive,1
217,lets see how many people are watching this song in quarantine,positive,1
218,who is listening this in february,neutral,0
219,random person who find this will become milioniare,positive,1
220,if you are here after years that this song came out you are legend,positive,1
221,guys can you tell me when maroon will be released,positive,1
222,report says sugar industry got boom after this song,positive,1
223,literally every person in the world can vibe to this,positive,1
224,anyone watching this video hope you get everything you want in life,positive,1
225,the scene where theyre driving reminds me of the good old days where was cruising down the streets of gta with the homies,positive,1
226,the dislikes are from the people that dont have sugar,negative,2
227,who want to have this kind of surprise in their wedding day,positive,1
228,lets see how many people are listening this on september,neutral,0
229,imagine the people getting married had no clue who maroon were,positive,1
230,imagine the people who listen to this song before the release were the luckiest one,positive,1
231,lets see how many legends are watching this in quarantine,positive,1
232,all the dislikes are from the people who missed these weddings that day,negative,2
233,this song will never be forgotten or go out of style,positive,1
234,just imagine how many peoples come here everydayin august in,positive,1
235,imagine being in the toilet during this,negative,2
236,this song marked my life in an inexplicable way sad,neutral,0
237,dear stranger whoever reads this may your mother live over years,positive,1
238,the fact that the comment section is still active after years is lit,neutral,0
239,years ago this music video only has views now just wow,positive,1
240,bet that everyone of you has repeated this song at least twice,positive,1
241,the only music vid from maroon that isnt downright scarring,positive,1
242,hey maroon you are always welcome to come to my parties and wedding,positive,1
243,lets just thank the heavens that tik tok wasnt around this time,positive,1
244,this brings back memories and activates feelings of love in me harder than the drop in an old dubstep evanescence remix was just listening to and it was epic,positive,1
245,why this reminds me of the coffin dancers,negative,2
246,there is no way this was years ago,positive,1
247,the fact that they probably did this for free is so wonderful,positive,1
248,this vid has comments if you found mine then youre legend,positive,1
249,honestly came to the comment section and became legend more than times,positive,1
250,if youre diabetic this hits different,positive,1
251,the fact that theres comments from just couple days ago makes my day,positive,1
252,dont worry youre not the only one whos watching this in,positive,1
253,only people who came for the nostalgia are worthy if liking this,neutral,0
254,imagine being so bored that you scrolled and found my comment,neutral,0
255,wait cant tell is this real or is this acting,positive,1
256,if youre still listening to this youre true legend,positive,1
257,holy remembered listening to this song like when was in car,positive,1
258,she is the reason why tarzon never left jungle,positive,1
259,did any one else randomly remember this and come back,positive,1
260,cant believe its an old song now feels like yesterday,positive,1
261,comment because in years someone will read it and think wow thats years ago,positive,1
262,feel she looks more beautiful with black hair than blonde hair,positive,1
263,almost half the population of the world has listened to the songs what,positive,1
264,whos watching this exactly years later,neutral,0
265,katy is so gorgeous looking with her long black hair and those blue eyes,positive,1
266,lets see how many people are here in september,neutral,0
267,lets see how many people are watching this song during quarantine,positive,1
268,this song has gotten me thru so much in my life,positive,1
269,little did she know that years from this video she was gonna have her own baby,positive,1
270,you can refuse to believe that this song is exactly years old,positive,1
271,this is how willy wonka met the oompa loompas,positive,1
272,hearing this song made me remember old memories,neutral,0
273,who thinks katy perry is the best,positive,1
274,bruh remember this was like the only song teachers would be playing at my school,neutral,0
275,one second shes saying shes scared of everything and the other she second she says she can defeat lion,positive,1
276,the people who likes this comment is officially before views,neutral,0
277,who came here because this song just crossed their mind,positive,1
278,still here sep,neutral,0
279,if you find my comment you will be rich in the future,positive,1
280,remember in kindergarten when our teacher would let us dance to this song couple of months after it was uploaded,positive,1
281,the person who likes this will be billionaire,positive,1
282,just found out that scene in cave where theres an animation of big tiger and humans where inspired by scene from ice age,positive,1
283,swear to god katy perry ruled the world at one point of time,positive,1
284,and from the other side of the jungle you could hear the anacondas get it,neutral,0
285,remember when the comment section was normal not calendar,neutral,0
286,this is the best song katty ever wrote in history,positive,1
287,songs like this are masterpieces and never getting old,positive,1
288,that moment when you come back to song and your english has improved enough to actually understand the lyrics,positive,1
289,she is so talented and best rock star ever now this song is also updating,positive,1
290,havent heard this song in forever and isnt true that covid has made old songs famous again lol,positive,1
291,love this who is watching and may god guide you and take care of youre self thanks,positive,1
292,billion views katy is the only female artist in history to achieve this milestone queen,positive,1
293,who remembered this randomly and just wanted to back to this video for memories,neutral,0
294,love this song lets my stay confident also love the confident song they are sooo good,positive,1
295,remember hearing kid singing this over my aunts fence random know but damn these throwbacks,negative,2
296,billions is coming first female to own that,positive,1
297,actually nobody has mentioned how her makeup is still perfect,positive,1
298,watching this september and actually still like this song am the only one,positive,1
299,feel bad for the guy wo just died cud of tiger,positive,1
300,who else searched up to see what the most viewed videos on youtube are and this song was one of them,positive,1
301,sidanyone elesrandomlyrememberthisandcomeback,neutral,0
302,expected her to mourn for that guy killed by kitty purry how did she even guess that,negative,2
303,that was just minutes and seconds of me smiling like an idiot,positive,1
304,this is pure gold im so in love with this life,positive,1
305,whos watching at the end of,neutral,0
306,never ever thought would ever end up feeling nostalgia for this song,neutral,0
307,dont know who she is and typically dont care about dance but god damn shes good,positive,1
308,it literally feels like this song was released one year agohow it was actually in,positive,1
309,maybe we found love right where we are sep,positive,1
310,the random person who like this will be billionaire someday guaranteed,positive,1
311,just imagine how many people come here playing this amazing song everyday,positive,1
312,dear whoever is reading this we dont know each other but wish nothing but best and happiness for you and your family,positive,1
313,this was magical ed,positive,1
314,years later if you watch this song you are officially legend,positive,1
315,this song really aged well still holds up in,positive,1
316,just imagine how many people want to live in this song,positive,1
317,who else randomly came here during quarantine,neutral,0
318,pray whoever reads this becomes successful,positive,1
319,always smile while listening to this song before but ever since my dad died always just cry while listening to this songthis is his favorite song,positive,1
320,who else is going through old song session,neutral,0
321,he really knows how to put relationship together over song,positive,1
322,yes because this singer is living legend,positive,1
323,if you still come back here your legend,positive,1
324,if you re reading this then hope something good happens to you today,positive,1
325,only ed could write romantic songs like this like imagine being the girl he writes these about holyyyy shit,positive,1
326,imagine ed singing his songs to his daughter,positive,1
327,life was so different when this came out wish that one day ed sheeran listens to my music and we make hit song together god bless everyone better days are coming,positive,1
328,was once fan but now im an air conditioner,positive,1
329,as usual get everything and im not moving and you cannot bully harass intimidate or force me to do so against my will,neutral,0
330,this is such beautiful ballet love this song,positive,1
331,cant still forget gossips about ghost caught on camera thingy,neutral,0
332,stop asking whos still listening in we never stopped listening,positive,1
333,know im not the only one who came back to this and was surprised it has over billion views,positive,1
334,who else is listening to old songs randomly,neutral,0
335,the dislikes are from the people still counting dollars and not stars,negative,2
336,did this song just make anyones day lot better,positive,1
337,this song is still legendary and nothing will replace it,positive,1
338,years after and still better than most of songs,positive,1
339,imagine dragons and onerepublic should make song together it would be epic,positive,1
340,this song really needs to be put every where since in these times we need something to cheer us all up,positive,1
341,this was years ago felt like years who only,positive,1
342,youtube is the closest thing to time machine,neutral,0
343,imagine how many people come every day here and listen this song,neutral,0
344,only legends and veterans and people who born before will remember this song,neutral,0
345,the fact that the chat section is still active is lit,neutral,0
346,only hope one day imagine dragons and onerepublic make song together,positive,1
347,just like here if you are here everyday or more than one time,neutral,0
348,all these dislikes are from the people that cant see the stars,negative,2
349,who else remembers hearing this on the radio while driving car as kid,neutral,0
350,the fact that this comment section is years old and still active is lit,neutral,0
351,years and your stil here listening legend,positive,1
352,bruh imagine dragons and onerepublic should make an epic song together,positive,1
353,no you are not the only one whos watching this in,positive,1
354,the fact that almost half of the living people in the world have viewed this is amazing,positive,1
355,this song is years old but see comments from minutes ago this song is truly legendary,positive,1
356,this song is forever legendary,positive,1
357,dont worry youre not the only one hearing this masterpiece in,positive,1
358,music for the spirit in the morning anyone agree,positive,1
359,am feeling lucky and dreaming about the things we could be so am listening to this song,positive,1
360,if you still listening to this youre legend,positive,1
361,who else came back and saw billions views and were schocked,positive,1
362,ive not listened to this song in years  still remember the lyrics,positive,1
363,lets just thank the heavens that tik tok wasnt around during this time,positive,1
364,years still speechless while listening to this song,positive,1
365,lets be honest quarantine is bringing us back to legendary songs,positive,1
366,might just make him aspie so understand sitches,neutral,0
367,this song made me so powerful threw open napkin on my roof,positive,1
368,years and still active is so cool hi future people,positive,1
369,they aint counting stars they count there money,positive,1
370,ive counted too many stars now im an astronomer,positive,1
371,we never stopped listening to this song,positive,1
372,this comment section is no less than an actual calendar,neutral,0
373,this is one of the most ever green songs ever heard couldnt believe it is years old feels like yesterday,positive,1
374,love this video because she seems like shes having so much fun and she didnt even plan the dances,positive,1
375,who else started listening to old songs randomly,neutral,0
376,dont think taylor swift realizes that she is taylor swift,positive,1
377,who just came back to watch this song randomly,neutral,0
378,stop saying who else here in we never stop listening this masterpiece song you know,positive,1
379,this song is so popular the comments are literally still active,positive,1
380,she summarized her whole teenage life till and after becoming star,positive,1
381,swear literally every person in the world knows this song lol,positive,1
382,this is amazing on every level great video great message and just all around fun to watch get it taylor,positive,1
383,did anyone else realize she had snake necklace in one of the shots she predicted the future of how she would shake off that drama lol,positive,1
384,and now some random song writters claimed that taylor swift stole the chorus of this song like seriously after so many years duh,negative,2
385,cant believe its years ago seems like yesterday,positive,1
386,this song is the best anti depressant ever always gets me dancing around my room even at yrs old lyrics are perfect too gotta love taylor,positive,1
387,lets make this the th song to reach billion views go swifties,positive,1
388,every music when having performance in the philippines be like,positive,1
389,did you notice this song tells us message to shake our fears,positive,1
390,who is here after watching taylor performance on amas she deserve to be artist of the decade,positive,1
391,years of this song making every bodys suffering more tolerable,positive,1
392,yes even people of my age love taylor swifts music she proves there are still some great songs around,positive,1
393,will return in year leave like so remember,positive,1
394,shes in her own world now shes just having the time of her life,positive,1
395,so basically quarantine has brought us to these legendary songs,positive,1
396,who came here during taylors performance in ama awards,positive,1
397,watching this after an online class is so rejuvenating,positive,1
398,who else is shaking off with this song too,positive,1
399,the song has very common letter but the rythm is so catchy,positive,1
400,years later and the white slit is still in the top left hand corner,positive,1
401,this is such fun video,positive,1
402,she looks like she could be reading teacher when she ages,positive,1
403,this is an old song that is trending seriosly almost billion views and millions of likes,positive,1
404,come back here to see how many people comes here daily,neutral,0
405,this is literally the best song ever very proud of taylor,positive,1
406,im gonna tell my kids this is better than despacito,positive,1
407,if youre here in it means you have good musical taste,positive,1
408,to everyone who reads this wish your mother long life,positive,1
409,dont know spanish but still listen to spanish song because every spanish songs are amazing and its sounds are unique and just amazing,positive,1
410,this song will never get old for me,positive,1
411,dont understand single word but still listening to this,positive,1
412,not gonna lie when think back to these times only have memories of the best songs made,positive,1
413,the sexiest voice in the world is voice of enrique,positive,1
414,the man with low voice is mesut commissioner,positive,1
415,its been way too long since ive listened to this brilliant song,positive,1
416,liked the song this goodness,positive,1
417,im here for school assignment good music,positive,1
418,enrique iglesias you beauty every viewer love you,positive,1
419,me looks this song looks like despactios brother,positive,1
420,listened full without understanding word thats how good it is,positive,1
421,imagine how many people are watching before reaching billion,neutral,0
422,this song better than dispacito,positive,1
423,dont lie to me this wasnt in your recommend you searched for it,neutral,0
424,prefer this version than the dj,positive,1
425,okay need to learn spanish,positive,1
426,even though dont understand single word but still can tell you that can listen this song for whole day,positive,1
427,heard this in lanzorate and loved it ever since comment if you are the same,positive,1
428,years ago after school summer listening to this no worries no pressure no certain viruses outside just enjoying the song,positive,1
429,legends say that her legs are still wide open,neutral,0
430,who came here to make sure it came to billion,neutral,0
431,when your legs take social distancing seriously,neutral,0
432,this song will never ever be old,positive,1
433,imagine walking on the streets and seeing some crazy people dancing on top of bus,negative,2
434,love this soo much,positive,1
435,love this tune,positive,1
436,as an indian myself can confirm that this is how bus tours happen in my country,negative,2
437,all the comments are years old am the only one legendary person who came here after this year,neutral,0
438,she dances like mirandasings love it,positive,1
439,only people who knows major lazer before fortnite can like this,positive,1
440,there are so many parodies about this in polish didnt even realise this was actually in english,neutral,0
441,cant quit listening love this song,positive,1
442,the most top music so many years have passed but listen,positive,1
443,tell me honestly this isnt recommended we searched for it,negative,2
444,if your trying to learn how to dance like that youre legend,positive,1
445,her legs are like the two koreas they will never be together again,negative,2
446,lets see how many peoples watching in september,neutral,0
447,when you find this song after years,neutral,0
448,all those people probably got sunburned filming outside,negative,2
449,life was so much better when this came out,positive,1
450,damnlife was good back then when this song was released,positive,1
451,this video is an electric factory,positive,1
452,whos listening in this pandemic,neutral,0
453,lets see how many people are watching in september,neutral,0
454,congratulations katy mv dark horse has achieved million likes,positive,1
455,years later and im watching this,positive,1
456,stop saying who is here we never left,positive,1
457,remember how the world was shocked when this mv released,positive,1
458,lets see how many legends are watching after lockdown,positive,1
459,she was turning people to dust before thanos what legend,positive,1
460,bet people only watch this cause of tiktok but me no only watch this cause im fan of katy,positive,1
461,imagine how many peoples came here everyday,positive,1
462,when you realise that one of these is not jessie six years later,neutral,0
463,who remembers this song then it was only year old,neutral,0
464,the song is so beautiful that even if its im going to listen,positive,1
465,sad for the children who only discovered this on tiktok,negative,2
466,wont stop listening this song im obsessed,positive,1
467,if you see this everything is going to get better trust me,positive,1
468,who else feels the drop is literally amazing and oustanding,positive,1
469,only people who actually listened to this years ago and just realised its viral on tiktok can like this,positive,1
470,the nostalgia from this is insane can still remember myself being confused at this music video,positive,1
471,the random person who likes this wll be millionaire before coronavirus ends,positive,1
472,cant beleive im watching this legendary song after years,positive,1
473,cant believe this song was years ago it feels like just heard it yesterday,positive,1
474,literally came just to hear the aphrodite part,positive,1
475,cant believe that its been years since this song came out,positive,1
476,the red sands represent adrenochrome we know this for fact katy perry,positive,1
477,katy perry hasnt made any more videos for long time is it becouse she is pregnant,neutral,0
478,damn quarantine do be makin us come back to some good songs,positive,1
479,who else randomly remembered this song man was life good back then,positive,1
480,if you are watching this in your gonna get cheesed,positive,1
481,know one day my comment will get lost in this comment section but if someone sees this may you live happy life forever,positive,1
482,who else just randomly listening old songs,neutral,0
483,look at your mom daisy dove bloom shes queen and legend you must be so proud of her in future,positive,1
484,the dislikes are from history teachers,negative,2
485,thank you all for million views,positive,1
486,alan walker is such big inspiration to me hes one of the main reasons why started producing music and im hoping to be as successful as him one day it would be dream come true ❤,positive,1
487,alan walker you are person who inspires me to continue creating electro music because he also started like me sending your work to music channels no copyright hope one day to fulfill my dream of being recognized in electronic music,positive,1
488,let see how many people come here everyday,neutral,0
489,im faded,positive,1
490,lets check how many people are listening the song till now during the pandemic,neutral,0
491,so basically quarantine brought everyone to the old legendary songs,positive,1
492,this song makes me feel nostalgic dont know why,positive,1
493,ur music is just osm keep making gud one like faded,positive,1
494,this is brilliant,positive,1
495,clicked on this and started crying the nostalgia,positive,1
496,raise your hand if you watched this song after going to college,positive,1
497,who want this song reached billion,positive,1
498,faded or fade which one do you like the most,neutral,0
499,dang in years he has over billion views,positive,1
500,know you are in quarantine right now well how many people are we like lets see how many we are,neutral,0
501,alan walker is simply the best dj in the world,positive,1
502,covid wont fade you legend alan walker,positive,1
503,imagine to get likes in thousants,positive,1
504,wish we could turn back time to the good ol days,positive,1
505,what thing you fade say to my self that am the useless person but now am had listen it just make me like am not useless preson,positive,1
506,wish to meet legend of music alan walker,positive,1
507,little did we all know this man changed our lives,positive,1
508,this song is years old but the comment section is still active wow,positive,1
509,if was alan walker son and got lost alan walker would say where are now,neutral,0
510,this is song that can just transport you into another universe am speechless and crying after hearing to this song,positive,1
511,am sad for those who never heard this song before,positive,1
512,you dont really have to be half nacked to get of viewers,neutral,0
513,lets see how many walkers watching this in september,neutral,0
514,who also knew the song before it was getting so popular,positive,1
515,this song is very incredible and helpful to lose distress,positive,1
516,faded is legend of alan walker,positive,1
517,alan walker like this if you like french doggo,neutral,0
518,literally know and listen to more music then anyone ive ever met with that being said this is one of the best songs of all time,positive,1
519,that hole in his shirt is there on purpose,neutral,0
520,ellens part looks like me waking up from hour sleep then going to the kitchen and seeing visitors all around the house,neutral,0
521,im sure someone is reading my comment,neutral,0
522,the legend goes that the cameraman is still shooting,neutral,0
523,theres person who listen this song with you in is me,positive,1
524,whoever is reading this your skin isnt paper dont cut it your body isnt book dont judge it your heart isnt door dont lock it your life isnt movie dont end it youre beautiful be you stay safe,positive,1
525,dont know but this song gives me girl power,positive,1
526,cant believe how many people come here daily,neutral,0
527,nice video concept,positive,1
528,cardi just ruined the whole song with her rap,positive,1
529,wow didnt notice millie wait is that even millie,positive,1
530,sorry just came here to look up millie bobby brown,negative,2
531,great song  video,positive,1
532,who is your favor out of all these people mine is millie bobby brown,neutral,0
533,come here to read comments ever song ther is same comments,neutral,0
534,this video was awesome on so many levels tiffany jlo mary gal camila cardi etc great video,positive,1
535,were they all really present in front of each other at same time at that state down or was it all green screen with them separately stitched later together in editing 😃,neutral,0
536,this is at best song in the whole world,positive,1
537,anyone watching this during quarantine and just now realizing how totally amazing this song is,positive,1
538,btw who is that boy who stands alone and then adam enters and further continues the song just to seconds beefore cardi bs entry,neutral,0
539,really dont think they thought cardi bs outfit through that thing swallows her whole and just doesnt fit its eye catching yea but not in good way,neutral,0
540,shakira is missing her hips dont lie,negative,2
541,dont know why feel so good when see all the empowered beautiful powerful woman in one video this video is something else,positive,1
542,because everyone wrote the comments years,neutral,0
543,when this song plays cant stop myself from singing and dancing,positive,1
544,only people who didnt came from tiktok are worthy of liking this,positive,1
545,this song makes me want to hold on to my girlfriend never had,positive,1
546,pray for whom so ever reads this comment shall and will become successful person in the future,positive,1
547,hope everyone comes back to this song every year dont let this song go,positive,1
