Video Name,Channel Name,Comment Id,User Name,Comment,Date,Likes,Category Comment
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzSwtx-hnkh2sO7RIJ4AaABAg,Decay Fanatic,The people who liked this comment is officially before 7B views,2020-09-08T08:41:24Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwcFzaRuOrI33paxo94AaABAg,Shaik Golam Kibriya,Just imagine how many people come here everyday!,2020-09-08T09:43:18Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzcdUjiZGxmMrXqGcZ4AaABAg,Spuky,Who just came to check if it had more views than the world population.,2020-07-13T10:32:42Z,5009,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxCmLFVfuD4B6U-3sB4AaABAg,Alexander Choque,the people who liked comments is officially 7B views,2020-09-07T15:33:25Z,3,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzlCC7Rx7_X8fjUDX54AaABAg,L_A 5,"Don't worry, you're not the only one who's watching this during quarantine.",2020-05-10T20:08:08Z,9112,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwdKy9h3KrgaJbiqJB4AaABAg,Axel Prudencio,"look at that person reading all the new comments, and liked it.",2020-09-08T14:40:33Z,1,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgyPc2-8sLuuVKCvOA14AaABAg,Dines Kumar,people are coming here everyday only to check if the song has reached 7B views,2020-09-07T15:06:45Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugww96EbDewd-W82aZR4AaABAg,3000 subscribers without any video challange,Only people who didn't came from Tik tok are worthy of liking this.,2020-09-09T09:00:23Z,36,negative
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzWhx9MtHEztCbyvVR4AaABAg,Basanta khadka,Those who are officially before 7 billion views like here.,2020-09-08T15:02:51Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxBD3TlwwFgWvOi2nx4AaABAg,Mycreeperwii,"Don't worry, you're not the only one who came to check the views.",2020-05-18T15:17:03Z,2398,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwDGHBGHEnz_n5I1qB4AaABAg,music mania,People who liked this comment is officially before 7billion views,2020-09-08T15:03:51Z,3,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzSkbG5P-TJcjnoY4l4AaABAg,Rachel Shalom,People who like this are officially here before 7 billion,2020-09-07T16:28:27Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzgnrwIzql_82svfGl4AaABAg,Karmic,The people who liked this comment is officially before 7B views,2020-09-07T18:18:08Z,2,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugx-NkKemvaOlwdnd_B4AaABAg,COS Cubing,Honestly who just came to check views,2020-06-16T23:44:27Z,3671,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzfsatKz0TJ3yFeX_J4AaABAg,Arham Mehta,Everyones just coming back to see the views,2020-08-26T14:14:05Z,1318,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzhhHc2sFYHKqWwvbJ4AaABAg,big boy,the number of PEOPLE who have watched this is probably under a billion,2020-09-08T13:31:46Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugw-YIPhRK2yAYYVj_F4AaABAg,Luís Eduardo,"if you're watching this during quarantine, you're a legend",2020-09-08T11:44:14Z,2,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzUco8ax82cOIMFTJF4AaABAg,Jack Downey,Dear stranger whoever reads this comment may your parents live 100 years,2020-06-05T13:35:18Z,1852,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxLk-y_Uwi-namEnJd4AaABAg,Davi dos Santos de Quadros,The whole world literally heard this song,2020-09-07T15:28:03Z,2,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwGwwIetNbtvTJZhDx4AaABAg,Sean Benitez,this comment makes no sense but i still wrote this comment that makes no sense so why did i write this comment that make no sense even though it makes no sense. so why read a comment that doesn't make sense? it doesn't make sense. does this comment even make sense? my brain hurts from writing this comment that makes no sense even though i wanted to write this comment which makes no sense because why would i make a comment that makes no sense? someone help me please my brain hurts. like if your brain hurts after reading this comment.,2020-09-07T19:10:15Z,2,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzelGqCtVWwqGAVI-Z4AaABAg,Daan Prins,It has mor dislikes than de average likes of a big youtuber,2020-09-07T14:49:50Z,1,negative
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwlYnE2bHBdlcVpdvx4AaABAg,The Legend,"3 years later, if you're watching this you're a legend.",2020-08-29T18:44:53Z,5900,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzQTbUScu6_aQUDOC14AaABAg,Enso,The people who liked this comment is officially before 5B views,2020-09-06T20:32:24Z,483,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxNsDmWOG7QAB7_50p4AaABAg,atharv,"I refuse to believe that this song is 3 years old, it seems like yesterday.",2020-09-07T19:29:14Z,96,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwGPk7Etm_PDkTkqAF4AaABAg,BigGreatGucci FanOfRoblox,"If you're watching this in quarantine, you're a legend.",2020-09-07T17:15:27Z,7,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxK0Td6UgMMDXc4aRR4AaABAg,Fareeda Hossam,I can't actually believe he's a father now.,2020-09-07T18:28:23Z,4,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxdpRc75P7osTM9i3V4AaABAg,Ali Musi,Just imagine how many people's come here everyday.,2020-09-07T02:40:18Z,36,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxrwNaZqpOJWWivDXR4AaABAg,Chancey Torres,YouTube is the closest thing we can ever get to a time machine.,2020-09-08T08:01:10Z,2,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzTvPtH93YcGsfV4Il4AaABAg,750 subs by tonight?,The people who liked this comment is officially before 5 billion views!!,2020-09-07T16:19:11Z,5,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgyQSkgUNzHOwUkqZHZ4AaABAg,Metallic Coffee,"I refuse to believe that this song is 3 years old, it feels like yesterday!!",2020-09-08T03:53:51Z,3,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxjsDqlMSQ-H1BLIhd4AaABAg,Please Help Me To Reach 1K Subscribers,"3 years later,you're watching this you're a legend.",2020-09-05T13:52:21Z,85,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugy0vT6YuBNRodmxwvB4AaABAg,Bok,How many people are watching this in April 2020 ?,2020-04-24T21:53:20Z,4160,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxGGKcf8vcZQe1RM7V4AaABAg,Mimi & Jenny Playstore,"3 years later,if you're watching this you're a legend",2020-09-06T18:30:37Z,173,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugw0qQlRjQ82xFE8TTF4AaABAg,Kalpesh Patadiya,The people who like this comment is officially before 5B views.,2020-09-07T13:51:38Z,21,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxwRUdBGGYArsNr6-R4AaABAg,1 K SUBS WITHOUT VIDEOS,Just imagine who is here everyday.,2020-09-08T09:52:04Z,3,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxktMyPFkqlXr7b1GJ4AaABAg,sanjay kumar,Just imagine how many people come here everyday,2020-09-08T04:02:34Z,20,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugzo4KDeMUdecdh8J_Z4AaABAg,dave woods,"this guy never sings just talks the words, no real music,and hes made lots of dosh,why ?",2020-09-08T10:20:09Z,0,negative
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugx3O79Pevly-xSyBsd4AaABAg,pvra,"Listening to this to remember the old days, where corona only was a drink",2020-08-27T06:52:16Z,526,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzD1pSHV6OHPz0EYex4AaABAg,Aftarul Islam,This song gives us new taste everyday in everytime and everymoment.,2020-09-07T17:02:29Z,2,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugyk0PBprcDuULB9aTd4AaABAg,pritanshu pal,THE PEOPLE WHO LIKED THIS COMMENT ARE OFFICIALLY BEFORE 5 BILLION,2020-09-07T12:16:06Z,20,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugx5v04sigayNvMrSPV4AaABAg,Wolfra Gaming,The people who liked this comment are officially before 5 billion views.,2020-09-02T09:41:29Z,487,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwyW7lvrdBKLR22T2B4AaABAg,S.a. Trivedi,People who like this comment are officially licensed to be before 5 billion .,2020-09-08T11:46:40Z,1,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugx6gdFQ_kOBG6agGC94AaABAg,you tubers,Just imagine how many people's come here everyday.,2020-09-07T02:39:01Z,29,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwkIMGqP0U48VGVaWN4AaABAg,John Obringer,"Dont worry, you're not the only one watching this during quarantine.",2020-05-12T15:25:40Z,1882,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwA4RvJBasrwsNQPqZ4AaABAg,Dana PXL,Don't asking how watching this in 2020 Beacuse we never left,2020-09-07T16:39:32Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgwrpEdaS_fVPJR9ZaV4AaABAg,Aimée Unicorn,Whoever likes this is offically here before 5 milliard views,2020-09-07T16:39:57Z,2,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugwp-cFonIAom0LKU4V4AaABAg,Tomtiger Timtiger,I feel like everybody relistening to them old songs,2020-09-07T17:01:43Z,1,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzSZhtYD47yeaWumbd4AaABAg,nikkolash749 roblox,I love how before ed sheeran was talking about stitches lol,2020-09-07T20:46:32Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzT2dDc1dUBCDDx29F4AaABAg,MrCrazy,"At my funeral, I want someone to play this tune on the marimba",2020-09-09T08:03:10Z,0,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgzLjdtySwq0tnPDw6V4AaABAg,Julie Baggett,"If you read this, merry Christmas",2019-12-20T03:10:24Z,5632,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgyFsz8i8_eQP7zQZwt4AaABAg,Kindly Help Me To Reach 5000 Subscribers,i pray who ever reads this becomes successful,2020-09-07T17:06:04Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgyN0lkzk6TCKljStYt4AaABAg,E Vidz,"3 years later, if you're watching this you're a legend",2020-09-08T14:36:40Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxMq01J5Vp6ZRsbChN4AaABAg,Romanane DB,The 1.2 million people who disliked this song must have had their phone upside down. Lmao,2020-09-07T17:31:42Z,16,negative
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxKHjgLlku-nH3_Hw54AaABAg,T Titan,"Everyone who is reading this , I pray for your good health. Stay happy , Stay safe, Take care",2020-09-07T14:39:14Z,2,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgyiW7pBAlqc6ysCNpV4AaABAg,Samiur Rahman,Let's be honest this song is better than Despacito,2020-09-07T16:30:32Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UghELs4mLYejoHgCoAEC,Hobgoblin 35,"Red hair, second hand clothes? He must be a Weasly",2017-02-16T16:53:10Z,1715,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugy7ZMzckcaPSPdOwe54AaABAg,Jason Price,Who else is tryna find videos with multiple billions of views,2020-09-08T05:45:10Z,1,neutral
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxGxQQ6Tt6D6MCBpnp4AaABAg,Pls HeLP Me reach 100 SUBscribers,"I know one day my comment will get lost in this comment section, but if someone sees this,May you live a happy life forever.",2020-09-07T16:19:19Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugxl-muNo8kxXwcUAiR4AaABAg,Metallic Coffee,"3 years later, if your watching this, your a legend",2020-09-05T14:37:03Z,29,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugy961Xb_BRYLamMQpB4AaABAg,Alok Kumar,"Only song capable of surpassing Despacito, that melody it hits , beauty of ed sheeran",2020-09-08T05:21:47Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgxdbdFYGLpv4SyniH54AaABAg,Ayaan Ayub,"If your watching this now , your a legend",2020-09-07T19:31:06Z,2,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugy49YrakKgGsejXpZ94AaABAg,1234 subs with videos challenge,How many ledgends are listening to this masterpiece in September 2019?,2019-09-05T01:25:36Z,1469,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,UgyJcq4APC7gqyUFNYJ4AaABAg,Help me to Reach 200 Subscribers,One person who reading this become billionaire,2020-09-08T07:02:17Z,1,positive
Ed Sheeran - Shape of You [Official Video],Ed Sheeran,Ugydk5Bky_CtxL3DVrd4AaABAg,Meilinda Sintia Bella,"I listened to this song again during quarantine, this nostalgia brings calm.",2020-09-08T02:44:55Z,0,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzRIvRPxY37yAYvVd94AaABAg,jools Roberts,"This song was for everyone, everyone that passed away and legend's that passed away",2020-09-06T10:32:56Z,225,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugzhth98fwtHES0Opfx4AaABAg,Nofin Asia,we love paul walker,2019-01-23T12:28:54Z,8615,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugx_a-D2hxGCGsYW7XV4AaABAg,Harraa,"Fun fact this song has reached over half of the world, mad.",2020-09-07T15:36:12Z,65,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxCmsqI8tFfopGnKnV4AaABAg,The Deadman,"Let's be honest, this song is still legendary.",2020-09-07T00:52:31Z,289,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwFeBz3vqx8tG8ZsIp4AaABAg,MrCrazy,The race of life ended and the winner got to Olympus. Paul Walker became one of the gods.,2020-09-09T08:07:02Z,2,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxHQH5czFtN9qijaPZ4AaABAg,João Pedro Sengo,The only person in the world who hasn't heard this song is Paul Walker himself. RIP,2020-09-04T02:08:00Z,911,neutral
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxV5YW5fiIpjNh2H-p4AaABAg,Yotam Aviv,"Don't worry, the dislikes are Australians that trying to like",2020-09-06T09:29:19Z,138,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxrobEf9YCBeuRG1CR4AaABAg,Mohammad Anas Khan,Anyone who is Paul Walker Fan And like this song for him,2020-09-05T19:35:21Z,65,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzVhteIdT-ymgsRlD94AaABAg,Severus Snape,"For the people who disliked, that is not the download button.",2020-09-04T17:52:14Z,454,negative
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwR_78TiLFfeK31t7d4AaABAg,riel rm,"it's 2020, and this song still touches my heart everytime.",2020-01-18T12:47:04Z,122436,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzceMsQnz8IOEBL1QV4AaABAg,okechukwu angel,I still don't know why a lot of people disliked this video,2020-09-07T11:43:14Z,19,neutral
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UghQhfvswitH4XgCoAEC,DaveHax,Great song...,2017-03-12T18:34:02Z,3003,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugwz-K1KM2xHILi1pk54AaABAg,Help me to Reach 200 Subscribers,Who ever reading this become successful in life,2020-09-07T01:56:16Z,27,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugx-eFc80x2o27cA_Pt4AaABAg,help me get 1k subs with 1 video,"My girlfriend said this song sucked, now she's single",2020-09-07T20:47:22Z,78,negative
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugz98mADgm6k2UPu1_54AaABAg,indoraptor 738,I will never forget About this song.,2020-09-06T04:16:46Z,18,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwIWnWpMrtrCFy6AIF4AaABAg,Error Godz,"Salute to Paul Walker, Kobe Bryant, Chadwick Boseman and to all people who are dead because of this pandemic.",2020-09-07T04:27:57Z,10,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugz3ystEQV91R_lXdqh4AaABAg,Andrian Cudlea,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord",,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugyw8yp7v7bY9aEm-VN4AaABAg,AR Roasts,Why there is a dislike button for this masterpiece,2020-09-08T08:44:16Z,2,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgykfHBJpRWFovXwMaB4AaABAg,LONE WOLF,R.I.P Paul walker and Kobe Bryant. MAMBA FOREVER,2020-09-07T21:30:06Z,5,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgyLypskuunOzTvusqF4AaABAg,Aryan DEMIRI,Chadwick Boseman didn't die his just shooting Black Panther 2 in heaven,2020-09-04T01:09:46Z,148,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgyDkap_Vg1UXiMJ7lV4AaABAg,Saul Luchivia,This song hit my nerves when I lost a cousin friend R.I.P JAMES,2020-09-07T17:42:22Z,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugx5jUiDvJ7zEsI4KYZ4AaABAg,Help Me 1k Subscribers With 0 Videos Challenge,"If you're listening this song in this horrible year, you're a legend.",2020-08-23T05:13:45Z,6303,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugwhlov2bFjLYzgQTPZ4AaABAg,Jonoel Montepalco,Paul walker doesn't die he's waiting in finish line,2020-09-08T13:34:18Z,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugx2_7YtvmTVf6vUoe54AaABAg,Night Gamer 268,The 900k people who disliked have no hearts,2020-09-08T05:47:08Z,2,negative
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzXPyrc5_SoRs59gF94AaABAg,Unknown25,"Human die only when all forgot about him.For Paul,he will never die,he will always be in our hearts...",2020-09-07T15:42:25Z,2,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzmMEDrEoFReNMuyJx4AaABAg,Aakash Gamer,It is confirmed that the people who disliked this masterpiece are not human,2020-09-06T00:29:03Z,170,negative
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxGTe-7NcAMsTnhzD14AaABAg,jepp 04,Everyone who liked this comment was officially here before 5 billion,2020-08-16T09:18:41Z,5976,neutral
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgzwxMo5z1Zu1YQwtTJ4AaABAg,ᗰᑌᑎᗪO ᘜ卂爪乇尺ッ,"Paul is not dead, he is at the finish line with his friends waiting for us",2020-09-07T20:34:43Z,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgxSkO1hEgK2YCFGjft4AaABAg,25K Subs Without Any Videos Challenge,Dear stranger who ever reads this: may your mother live for more than 1000 years,2020-09-08T08:07:26Z,2,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugxy1rMlURuiEhpDguh4AaABAg,E Train Productions,"R.I.P Kobe Bryant, Gigi Bryant and all other passengers that were tragically killed. They all will be joining another world with Paul Walker.",2020-02-10T18:08:51Z,125023,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwvnuaJ11_XgsyvHx94AaABAg,Saad Masood,This song is not just a song it's a feelings.,2020-09-05T18:51:57Z,5,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwvQzf4T0QU-Rk_A4d4AaABAg,Paula z,"The comments are so recent, because we all need this song, right now especially.",2020-09-08T10:52:46Z,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwQqDrbzrZYkhmRH-h4AaABAg,Guicgd,Can we just take time and appreciate that tiktok didn't ruin this song.,2020-07-09T16:46:12Z,5600,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgwByYwgJFfCSzlDlx94AaABAg,Ismaeel Adam,"1.9 million comments. If you find mine, you are a legend",2020-09-06T11:18:09Z,21,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,UgyOVTP8f3Uj-AF88nh4AaABAg,Help me 100k subscribers without video challenge,"Don't ask who's here in 2020, because we never left.",2020-09-08T13:56:17Z,0,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugzv8X3-aaZBmqLOV4l4AaABAg,Bob,I bet all my money they they people who made this cried a million times,2020-09-08T02:09:39Z,1,positive
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,Ugy5A3hasI-rbSjWUJl4AaABAg,1 K SUBS WITHOUT VIDEOS,My lockdown days are going good with this song.,2020-09-07T15:09:13Z,2,positive
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,MarkRonsonVEVO,Ugj94ZAW8PfwWXgCoAEC,Trap King,This always puts me in a good mood no matter what,2016-01-26T02:12:16Z,8287,positive
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,MarkRonsonVEVO,Ugy4AXifQcPWAo7Eehx4AaABAg,Wutaii1 Nostalgia,Don't believe me just watch,2020-09-04T04:59:56Z,704,neutral
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,MarkRonsonVEVO,UgxBAHypr3_ykxumod94AaABAg,Baiken NEP,I can't be the only one who thought this was a Bruno Mars song.,2020-09-06T22:27:11Z,162,neutral
