,Comment,Category Comment
61,who else is tryna find videos with multiple billions of views,neutral
62,know one day my comment will get lost in this comment section but if someone sees thismay you live happy life forever,positive
63,years later if your watching this your legend,positive
64,only song capable of surpassing despacito that melody it hits beauty of ed sheeran,positive
65,if your watching this now your legend,positive
66,how many ledgends are listening to this masterpiece in september,positive
67,one person who reading this become billionaire,positive
68,listened to this song again during quarantine this nostalgia brings calm,positive
69,this song was for everyone everyone that passed away and legends that passed away,positive
70,we love paul walker,positive
71,fun fact this song has reached over half of the world mad,positive
72,lets be honest this song is still legendary,positive
73,the race of life ended and the winner got to olympus paul walker became one of the gods,positive
74,the only person in the world who hasnt heard this song is paul walker himself rip,neutral
75,dont worry the dislikes are australians that trying to like,positive
76,anyone who is paul walker fan and like this song for him,positive
77,for the people who disliked that is not the download button,negative
78,its and this song still touches my heart everytime,positive
79,still dont know why lot of people disliked this video,neutral
80,great song,positive
81,who ever reading this become successful in life,positive
82,my girlfriend said this song sucked now shes single,negative
83,will never forget about this song,positive
84,salute to paul walker kobe bryant chadwick boseman and to all people who are dead because of this pandemic,positive
85,for the wages of sin is death but the gift of god is eternal life in christ jesus our lord,positive
86,why there is dislike button for this masterpiece,positive
87,rip paul walker and kobe bryant mamba forever,positive
88,chadwick boseman didnt die his just shooting black panther in heaven,positive
89,this song hit my nerves when lost cousin friend rip james,positive
90,if youre listening this song in this horrible year youre legend,positive
91,paul walker doesnt die hes waiting in finish line,positive
92,the people who disliked have no hearts,negative
93,human die only when all forgot about himfor paulhe will never diehe will always be in our hearts,positive
94,it is confirmed that the people who disliked this masterpiece are not human,negative
95,everyone who liked this comment was officially here before billion,neutral
96,paul is not dead he is at the finish line with his friends waiting for us,positive
97,dear stranger who ever reads this may your mother live for more than years,positive
98,rip kobe bryant gigi bryant and all other passengers that were tragically killed they all will be joining another world with paul walker,positive
99,this song is not just song its feelings,positive
100,the comments are so recent because we all need this song right now especially,positive
101,can we just take time and appreciate that tiktok didnt ruin this song,positive
102,million comments if you find mine you are legend,positive
103,dont ask whos here in because we never left,positive
104,bet all my money they they people who made this cried million times,positive
105,my lockdown days are going good with this song,positive
106,this always puts me in good mood no matter what,positive
107,dont believe me just watch,neutral
108,cant be the only one who thought this was bruno mars song,neutral
109,did you notice that lot of super popular songs were released in,positive
110,lets be honest this song wasnt in your recommended you searched for it,neutral
111,respect all opinions except the ones that say this song sucks,neutral
112,this is all we play in gym class because slay bruno,positive
113,bruno mars is like our generations michael jackson,positive
114,im too hot,neutral
115,everybody has danced to this like at least once,neutral
116,only people who didnt hear this in tiktok can like,neutral
117,just imagine how many people come here every day,neutral
118,people who like this comment are officially before billions views,neutral
119,how many legends are watching this in,positive
120,the people who disliked are from the town,negative
121,hello future people im here in coronavirus time,neutral
122,years later you are watching this youre legend,positive
123,lets take moment of happiness because this song has not been ruined by tik tok yet,neutral
124,who are listening this song in and still you feel like its brand new song,positive
125,this song going to lift your spirit high,positive
126,ok wait just noticed this song is from this guy mark ronson and is in his youtube channel all this time thought bruno was the only singer for this song lol,neutral
127,can you imagine him and chris brown having dance thingie,neutral
128,this song makes me believe that the king of pop came back to life,positive
129,this song is so iconic remember this playing on the radio every mins sitting in the backseat going to the store or party,positive
130,if michael jackson was still alive then collab with him and bruno mars would be amazing,positive
131,when was kid used to think that he is michael jackson,positive
132,remember when everybody was saying this is the new michael jackson,positive
133,whos here randomly just to hear all nostalgia songs,neutral
134,always thought this song just belonged to bruno mars,neutral
135,when everyone gets out after covid,positive
136,this was like the old town road of the good days,positive
137,love how bruno mars just hijacked and overshadowed the other guy,positive
138,cant believe he was featured he did all the dm singing,positive
139,when we listened to this as kids we felt classy,positive
140,only people who are not from tiktok can like this comment,negative
141,the people who liked this comment is officially before,neutral
142,that dude just literally channeled whole decade of music thats boss,positive
143,who didnt know that bruno mars was when he did this,neutral
144,they are such legend when they die eyerbody will be sad because this song is the best ever,positive
145,anyone else listening while at home hiding from corona,neutral
146,life was so different when this came out god bless everyone better days are coming,positive
147,reading some comments youtube has been infiltrated by nothingness why cant we just all try to enjoy this effed up year,positive
148,if your watching this on your legend,positive
149,this guy has michael jackson in him,positive
150,who here is watching in wishing that life was as simple as it was back when this video was made,positive
151,came back here again after listening to haachamas singing stream,positive
152,this song is basically the first kpop song you listened to,positive
153,who came here because this randomly crossed your mind,neutral
154,remember when everyone used to sing this back in second grade,positive
155,this song prooved that nobody cares about the lyrics,positive
156,funny how the newest comments have the most likesyeahquarantine,positive
157,really love and like this song very much do you love and like like me,positive
158,is it only me who is trying find year old comments,neutral
159,listening this because nothing to do quarantine days,positive
160,lets see how many people are watching this in september,neutral
161,this is place where all kpop lovers and non kpop lovers meet,positive
162,years later and this song still feels like bop,positive
163,the person that first commented on this video must feel like the king of the world,positive
164,psy must still be vibing the money off of this song even after years,positive
165,years later if youre watching this then youre legend,positive
166,cant believe its years since that song came out,positive
167,this guy technically ruled the world for time,positive
168,can you translate this song plz,positive
169,who else remembers the time when youtube was only parodies of this song,positive
170,idk if anything is changed but for years this was one of the most hated song cauze how many times we heard it dis this changed yet,negative
171,remember when my cousin would sleepover and would annoy him all night with this song,positive
172,sometimes forget this song exists and then it randomly gets stuck in my head for months,positive
173,this killed billion brain cells from everyone who watched it,positive
174,getting your comments liked on here is like rolling with billionaires compared to other videos,positive
175,the question is how many came back to see if other people came back to see how many views this video has got,positive
176,this was everyones first taste of kpop without really knowing it as kids,positive
177,why cant we go back to this era of good music,positive
178,no youre not the only one watching this in quarantine,positive
179,this song was more overplayed than despacito but no one gets annoyed by it thats how good it is,positive
180,this is king jon un whatever hia name was before he was president,positive
181,my year old self didnt know this was kpop,neutral
182,dont know the language itself but this songs attracts me why,positive
183,yea just realized still dont know the lyrics,neutral
184,just like koreans their songs too never gets old,positive
185,when the world ends this is the song that plays during the credits,positive
186,think how we still like it but its boring in quarantine we have not something to do,neutral
187,whoever disliked this song may god remove you from depression asap,neutral
188,if youtube took this down my child hood will be ruind lol,positive
189,who is here in just because it randomly cross your mind,neutral
190,the moment you realized you didnt see his eyes the whole mv,neutral
191,the little kid at the start of the video is probably teenager now,positive
192,love you all viewers,positive
193,lets see how many peoples watching this in september,neutral
194,cant stop listening to this song,positive
195,just imagine how many people come here evetyday,neutral
196,pray this who ever read this become successful,positive
197,justin is great man he doesnt deserve any hate the guy literally minds his own business,positive
198,heard this song like recently time flies still cant believe its been years now,positive
199,everyone literally everyone is watching it again in quarantine,positive
200,came here after listening yummy to remind myself whats justins best,positive
201,dont worry you are not only one listening to this masterpiece on,positive
202,justin keep this type of music coming,positive
203,pray who ever see this comment becomes successful,positive
204,my name is madalitso mom has this song and dance,positive
205,still cannot believe that this song is years old now time flies,positive
206,can this legend most adorable young artist came back again,positive
207,still remember when me and my cousins are trying to choose our fave out of the girls,positive
208,if this is an apology for yummy then apology accepted,positive
209,who still here in,neutral
210,listen it more than million times and still cannot understand any move,neutral
211,lets be honest here this guy owned the world for while,positive
212,yes its too late justin its too late,neutral
213,my girlfriend says this song sucked now shes single,negative
214,whos here after the popstar music video,positive
215,pray who reads this may became billionaire one day,positive
216,years later if youre still watching this youre legend,positive
217,lets see how many people are watching this song in quarantine,positive
218,who is listening this in february,neutral
219,random person who find this will become milioniare,positive
220,if you are here after years that this song came out you are legend,positive
221,guys can you tell me when maroon will be released,positive
222,report says sugar industry got boom after this song,positive
223,literally every person in the world can vibe to this,positive
224,anyone watching this video hope you get everything you want in life,positive
225,the scene where theyre driving reminds me of the good old days where was cruising down the streets of gta with the homies,positive
226,the dislikes are from the people that dont have sugar,negative
227,who want to have this kind of surprise in their wedding day,positive
228,lets see how many people are listening this on september,neutral
229,imagine the people getting married had no clue who maroon were,positive
230,imagine the people who listen to this song before the release were the luckiest one,positive
231,lets see how many legends are watching this in quarantine,positive
232,all the dislikes are from the people who missed these weddings that day,negative
233,this song will never be forgotten or go out of style,positive
234,just imagine how many peoples come here everydayin august in,positive
235,imagine being in the toilet during this,negative
236,this song marked my life in an inexplicable way sad,neutral
237,dear stranger whoever reads this may your mother live over years,positive
238,the fact that the comment section is still active after years is lit,neutral
239,years ago this music video only has views now just wow,positive
240,bet that everyone of you has repeated this song at least twice,positive
241,the only music vid from maroon that isnt downright scarring,positive
242,hey maroon you are always welcome to come to my parties and wedding,positive
243,lets just thank the heavens that tik tok wasnt around this time,positive
244,this brings back memories and activates feelings of love in me harder than the drop in an old dubstep evanescence remix was just listening to and it was epic,positive
245,why this reminds me of the coffin dancers,negative
246,there is no way this was years ago,positive
247,the fact that they probably did this for free is so wonderful,positive
248,this vid has comments if you found mine then youre legend,positive
249,honestly came to the comment section and became legend more than times,positive
250,if youre diabetic this hits different,positive
251,the fact that theres comments from just couple days ago makes my day,positive
252,dont worry youre not the only one whos watching this in,positive
253,only people who came for the nostalgia are worthy if liking this,neutral
254,imagine being so bored that you scrolled and found my comment,neutral
255,wait cant tell is this real or is this acting,positive
256,if youre still listening to this youre true legend,positive
257,holy remembered listening to this song like when was in car,positive
258,she is the reason why tarzon never left jungle,positive
259,did any one else randomly remember this and come back,positive
260,cant believe its an old song now feels like yesterday,positive
261,comment because in years someone will read it and think wow thats years ago,positive
262,feel she looks more beautiful with black hair than blonde hair,positive
263,almost half the population of the world has listened to the songs what,positive
264,whos watching this exactly years later,neutral
265,katy is so gorgeous looking with her long black hair and those blue eyes,positive
266,lets see how many people are here in september,neutral
267,lets see how many people are watching this song during quarantine,positive
268,this song has gotten me thru so much in my life,positive
269,little did she know that years from this video she was gonna have her own baby,positive
270,you can refuse to believe that this song is exactly years old,positive
271,this is how willy wonka met the oompa loompas,positive
272,hearing this song made me remember old memories,neutral
273,who thinks katy perry is the best,positive
274,bruh remember this was like the only song teachers would be playing at my school,neutral
275,one second shes saying shes scared of everything and the other she second she says she can defeat lion,positive
276,the people who likes this comment is officially before views,neutral
277,who came here because this song just crossed their mind,positive
278,still here sep,neutral
279,if you find my comment you will be rich in the future,positive
280,remember in kindergarten when our teacher would let us dance to this song couple of months after it was uploaded,positive
281,the person who likes this will be billionaire,positive
282,just found out that scene in cave where theres an animation of big tiger and humans where inspired by scene from ice age,positive
283,swear to god katy perry ruled the world at one point of time,positive
284,and from the other side of the jungle you could hear the anacondas get it,neutral
285,remember when the comment section was normal not calendar,neutral
286,this is the best song katty ever wrote in history,positive
287,songs like this are masterpieces and never getting old,positive
288,that moment when you come back to song and your english has improved enough to actually understand the lyrics,positive
289,she is so talented and best rock star ever now this song is also updating,positive
290,havent heard this song in forever and isnt true that covid has made old songs famous again lol,positive
291,love this who is watching and may god guide you and take care of youre self thanks,positive
292,billion views katy is the only female artist in history to achieve this milestone queen,positive
293,who remembered this randomly and just wanted to back to this video for memories,neutral
294,love this song lets my stay confident also love the confident song they are sooo good,positive
295,remember hearing kid singing this over my aunts fence random know but damn these throwbacks,negative
296,billions is coming first female to own that,positive
297,actually nobody has mentioned how her makeup is still perfect,positive
298,watching this september and actually still like this song am the only one,positive
299,feel bad for the guy wo just died cud of tiger,positive
300,who else searched up to see what the most viewed videos on youtube are and this song was one of them,positive
301,sidanyone elesrandomlyrememberthisandcomeback,neutral
302,expected her to mourn for that guy killed by kitty purry how did she even guess that,negative
303,that was just minutes and seconds of me smiling like an idiot,positive
304,this is pure gold im so in love with this life,positive
305,whos watching at the end of,neutral
306,never ever thought would ever end up feeling nostalgia for this song,neutral
307,dont know who she is and typically dont care about dance but god damn shes good,positive
308,it literally feels like this song was released one year agohow it was actually in,positive
309,maybe we found love right where we are sep,positive
310,the random person who like this will be billionaire someday guaranteed,positive
311,just imagine how many people come here playing this amazing song everyday,positive
312,dear whoever is reading this we dont know each other but wish nothing but best and happiness for you and your family,positive
313,this was magical ed,positive
314,years later if you watch this song you are officially legend,positive
315,this song really aged well still holds up in,positive
316,just imagine how many people want to live in this song,positive
317,who else randomly came here during quarantine,neutral
318,pray whoever reads this becomes successful,positive
319,always smile while listening to this song before but ever since my dad died always just cry while listening to this songthis is his favorite song,positive
320,who else is going through old song session,neutral
321,he really knows how to put relationship together over song,positive
322,yes because this singer is living legend,positive
323,if you still come back here your legend,positive
324,if you re reading this then hope something good happens to you today,positive
325,only ed could write romantic songs like this like imagine being the girl he writes these about holyyyy shit,positive
326,imagine ed singing his songs to his daughter,positive
327,life was so different when this came out wish that one day ed sheeran listens to my music and we make hit song together god bless everyone better days are coming,positive
328,was once fan but now im an air conditioner,positive
329,as usual get everything and im not moving and you cannot bully harass intimidate or force me to do so against my will,neutral
330,this is such beautiful ballet love this song,positive
331,cant still forget gossips about ghost caught on camera thingy,neutral
332,stop asking whos still listening in we never stopped listening,positive
333,know im not the only one who came back to this and was surprised it has over billion views,positive
334,who else is listening to old songs randomly,neutral
335,the dislikes are from the people still counting dollars and not stars,negative
336,did this song just make anyones day lot better,positive
337,this song is still legendary and nothing will replace it,positive
338,years after and still better than most of songs,positive
339,imagine dragons and onerepublic should make song together it would be epic,positive
340,this song really needs to be put every where since in these times we need something to cheer us all up,positive
341,this was years ago felt like years who only,positive
342,youtube is the closest thing to time machine,neutral
343,imagine how many people come every day here and listen this song,neutral
344,only legends and veterans and people who born before will remember this song,neutral
345,the fact that the chat section is still active is lit,neutral
346,only hope one day imagine dragons and onerepublic make song together,positive
347,just like here if you are here everyday or more than one time,neutral
348,all these dislikes are from the people that cant see the stars,negative
349,who else remembers hearing this on the radio while driving car as kid,neutral
350,the fact that this comment section is years old and still active is lit,neutral
351,years and your stil here listening legend,positive
352,bruh imagine dragons and onerepublic should make an epic song together,positive
353,no you are not the only one whos watching this in,positive
354,the fact that almost half of the living people in the world have viewed this is amazing,positive
355,this song is years old but see comments from minutes ago this song is truly legendary,positive
356,this song is forever legendary,positive
357,dont worry youre not the only one hearing this masterpiece in,positive
358,music for the spirit in the morning anyone agree,positive
359,am feeling lucky and dreaming about the things we could be so am listening to this song,positive
360,if you still listening to this youre legend,positive
361,who else came back and saw billions views and were schocked,positive
362,ive not listened to this song in years  still remember the lyrics,positive
363,lets just thank the heavens that tik tok wasnt around during this time,positive
364,years still speechless while listening to this song,positive
365,lets be honest quarantine is bringing us back to legendary songs,positive
366,might just make him aspie so understand sitches,neutral
367,this song made me so powerful threw open napkin on my roof,positive
368,years and still active is so cool hi future people,positive
369,they aint counting stars they count there money,positive
370,ive counted too many stars now im an astronomer,positive
371,we never stopped listening to this song,positive
372,this comment section is no less than an actual calendar,neutral
373,this is one of the most ever green songs ever heard couldnt believe it is years old feels like yesterday,positive
374,love this video because she seems like shes having so much fun and she didnt even plan the dances,positive
375,who else started listening to old songs randomly,neutral
376,dont think taylor swift realizes that she is taylor swift,positive
377,who just came back to watch this song randomly,neutral
378,stop saying who else here in we never stop listening this masterpiece song you know,positive
379,this song is so popular the comments are literally still active,positive
380,she summarized her whole teenage life till and after becoming star,positive
381,swear literally every person in the world knows this song lol,positive
382,this is amazing on every level great video great message and just all around fun to watch get it taylor,positive
383,did anyone else realize she had snake necklace in one of the shots she predicted the future of how she would shake off that drama lol,positive
384,and now some random song writters claimed that taylor swift stole the chorus of this song like seriously after so many years duh,negative
385,cant believe its years ago seems like yesterday,positive
386,this song is the best anti depressant ever always gets me dancing around my room even at yrs old lyrics are perfect too gotta love taylor,positive
387,lets make this the th song to reach billion views go swifties,positive
388,every music when having performance in the philippines be like,positive
389,did you notice this song tells us message to shake our fears,positive
390,who is here after watching taylor performance on amas she deserve to be artist of the decade,positive
391,years of this song making every bodys suffering more tolerable,positive
392,yes even people of my age love taylor swifts music she proves there are still some great songs around,positive
393,will return in year leave like so remember,positive
394,shes in her own world now shes just having the time of her life,positive
395,so basically quarantine has brought us to these legendary songs,positive
396,who came here during taylors performance in ama awards,positive
397,watching this after an online class is so rejuvenating,positive
398,who else is shaking off with this song too,positive
399,the song has very common letter but the rythm is so catchy,positive
400,years later and the white slit is still in the top left hand corner,positive
401,this is such fun video,positive
402,she looks like she could be reading teacher when she ages,positive
403,this is an old song that is trending seriosly almost billion views and millions of likes,positive
404,come back here to see how many people comes here daily,neutral
405,this is literally the best song ever very proud of taylor,positive
406,im gonna tell my kids this is better than despacito,positive
407,if youre here in it means you have good musical taste,positive
408,to everyone who reads this wish your mother long life,positive
409,dont know spanish but still listen to spanish song because every spanish songs are amazing and its sounds are unique and just amazing,positive
410,this song will never get old for me,positive
411,dont understand single word but still listening to this,positive
412,not gonna lie when think back to these times only have memories of the best songs made,positive
413,the sexiest voice in the world is voice of enrique,positive
414,the man with low voice is mesut commissioner,positive
415,its been way too long since ive listened to this brilliant song,positive
416,liked the song this goodness,positive
417,im here for school assignment good music,positive
418,enrique iglesias you beauty every viewer love you,positive
419,me looks this song looks like despactios brother,positive
420,listened full without understanding word thats how good it is,positive
421,imagine how many people are watching before reaching billion,neutral
422,this song better than dispacito,positive
423,dont lie to me this wasnt in your recommend you searched for it,neutral
424,prefer this version than the dj,positive
425,okay need to learn spanish,positive
426,even though dont understand single word but still can tell you that can listen this song for whole day,positive
427,heard this in lanzorate and loved it ever since comment if you are the same,positive
428,years ago after school summer listening to this no worries no pressure no certain viruses outside just enjoying the song,positive
429,legends say that her legs are still wide open,neutral
430,who came here to make sure it came to billion,neutral
431,when your legs take social distancing seriously,neutral
432,this song will never ever be old,positive
433,imagine walking on the streets and seeing some crazy people dancing on top of bus,negative
434,love this soo much,positive
435,love this tune,positive
436,as an indian myself can confirm that this is how bus tours happen in my country,negative
437,all the comments are years old am the only one legendary person who came here after this year,neutral
438,she dances like mirandasings love it,positive
439,only people who knows major lazer before fortnite can like this,positive
440,there are so many parodies about this in polish didnt even realise this was actually in english,neutral
441,cant quit listening love this song,positive
442,the most top music so many years have passed but listen,positive
443,tell me honestly this isnt recommended we searched for it,negative
444,if your trying to learn how to dance like that youre legend,positive
445,her legs are like the two koreas they will never be together again,negative
446,lets see how many peoples watching in september,neutral
447,when you find this song after years,neutral
448,all those people probably got sunburned filming outside,negative
449,life was so much better when this came out,positive
450,damnlife was good back then when this song was released,positive
451,this video is an electric factory,positive
452,whos listening in this pandemic,neutral
453,lets see how many people are watching in september,neutral
454,congratulations katy mv dark horse has achieved million likes,positive
455,years later and im watching this,positive
456,stop saying who is here we never left,positive
457,remember how the world was shocked when this mv released,positive
458,lets see how many legends are watching after lockdown,positive
459,she was turning people to dust before thanos what legend,positive
460,bet people only watch this cause of tiktok but me no only watch this cause im fan of katy,positive
461,imagine how many peoples came here everyday,positive
462,when you realise that one of these is not jessie six years later,neutral
463,who remembers this song then it was only year old,neutral
464,the song is so beautiful that even if its im going to listen,positive
465,sad for the children who only discovered this on tiktok,negative
466,wont stop listening this song im obsessed,positive
467,if you see this everything is going to get better trust me,positive
468,who else feels the drop is literally amazing and oustanding,positive
469,only people who actually listened to this years ago and just realised its viral on tiktok can like this,positive
470,the nostalgia from this is insane can still remember myself being confused at this music video,positive
471,the random person who likes this wll be millionaire before coronavirus ends,positive
472,cant beleive im watching this legendary song after years,positive
473,cant believe this song was years ago it feels like just heard it yesterday,positive
474,literally came just to hear the aphrodite part,positive
475,cant believe that its been years since this song came out,positive
476,the red sands represent adrenochrome we know this for fact katy perry,positive
477,katy perry hasnt made any more videos for long time is it becouse she is pregnant,neutral
478,damn quarantine do be makin us come back to some good songs,positive
479,who else randomly remembered this song man was life good back then,positive
480,if you are watching this in your gonna get cheesed,positive
481,know one day my comment will get lost in this comment section but if someone sees this may you live happy life forever,positive
482,who else just randomly listening old songs,neutral
483,look at your mom daisy dove bloom shes queen and legend you must be so proud of her in future,positive
484,the dislikes are from history teachers,negative
485,thank you all for million views,positive
486,alan walker is such big inspiration to me hes one of the main reasons why started producing music and im hoping to be as successful as him one day it would be dream come true ❤,positive
487,alan walker you are person who inspires me to continue creating electro music because he also started like me sending your work to music channels no copyright hope one day to fulfill my dream of being recognized in electronic music,positive
488,let see how many people come here everyday,neutral
489,im faded,positive
490,lets check how many people are listening the song till now during the pandemic,neutral
491,so basically quarantine brought everyone to the old legendary songs,positive
492,this song makes me feel nostalgic dont know why,positive
493,ur music is just osm keep making gud one like faded,positive
494,this is brilliant,positive
495,clicked on this and started crying the nostalgia,positive
496,raise your hand if you watched this song after going to college,positive
497,who want this song reached billion,positive
498,faded or fade which one do you like the most,neutral
499,dang in years he has over billion views,positive
500,know you are in quarantine right now well how many people are we like lets see how many we are,neutral
501,alan walker is simply the best dj in the world,positive
502,covid wont fade you legend alan walker,positive
503,imagine to get likes in thousants,positive
504,wish we could turn back time to the good ol days,positive
505,what thing you fade say to my self that am the useless person but now am had listen it just make me like am not useless preson,positive
506,wish to meet legend of music alan walker,positive
507,little did we all know this man changed our lives,positive
508,this song is years old but the comment section is still active wow,positive
509,if was alan walker son and got lost alan walker would say where are now,neutral
510,this is song that can just transport you into another universe am speechless and crying after hearing to this song,positive
511,am sad for those who never heard this song before,positive
512,you dont really have to be half nacked to get of viewers,neutral
513,lets see how many walkers watching this in september,neutral
514,who also knew the song before it was getting so popular,positive
515,this song is very incredible and helpful to lose distress,positive
516,faded is legend of alan walker,positive
517,alan walker like this if you like french doggo,neutral
518,literally know and listen to more music then anyone ive ever met with that being said this is one of the best songs of all time,positive
519,that hole in his shirt is there on purpose,neutral
520,ellens part looks like me waking up from hour sleep then going to the kitchen and seeing visitors all around the house,neutral
521,im sure someone is reading my comment,neutral
522,the legend goes that the cameraman is still shooting,neutral
523,theres person who listen this song with you in is me,positive
524,whoever is reading this your skin isnt paper dont cut it your body isnt book dont judge it your heart isnt door dont lock it your life isnt movie dont end it youre beautiful be you stay safe,positive
525,dont know but this song gives me girl power,positive
526,cant believe how many people come here daily,neutral
527,nice video concept,positive
528,cardi just ruined the whole song with her rap,positive
529,wow didnt notice millie wait is that even millie,positive
530,sorry just came here to look up millie bobby brown,negative
531,great song  video,positive
532,who is your favor out of all these people mine is millie bobby brown,neutral
533,come here to read comments ever song ther is same comments,neutral
534,this video was awesome on so many levels tiffany jlo mary gal camila cardi etc great video,positive
535,were they all really present in front of each other at same time at that state down or was it all green screen with them separately stitched later together in editing 😃,neutral
536,this is at best song in the whole world,positive
537,anyone watching this during quarantine and just now realizing how totally amazing this song is,positive
538,btw who is that boy who stands alone and then adam enters and further continues the song just to seconds beefore cardi bs entry,neutral
539,really dont think they thought cardi bs outfit through that thing swallows her whole and just doesnt fit its eye catching yea but not in good way,neutral
540,shakira is missing her hips dont lie,negative
541,dont know why feel so good when see all the empowered beautiful powerful woman in one video this video is something else,positive
542,because everyone wrote the comments years,neutral
543,when this song plays cant stop myself from singing and dancing,positive
544,only people who didnt came from tiktok are worthy of liking this,positive
545,this song makes me want to hold on to my girlfriend never had,positive
546,pray for whom so ever reads this comment shall and will become successful person in the future,positive
547,hope everyone comes back to this song every year dont let this song go,positive
548,year ago today my grandma died of stage lung cancer she never smoked in her life but guess she was just unlucky she was great woman she did charities went across the world was nurse and was great grandmother goodbye lila you wont be forgotten,positive
549,the fact that this comment section is still active after years is lit,neutral
550,this song will never get old anyone who says otherwise is liar,positive
551,his voice is like cute little drawf who is singing from his heart like it,positive
552,you can refuse to believe that this song is years old,positive
553,dont ask who is watching in cuz we never left,positive
554,listening to this during quarantine thinking about the good old days when there was no corona and you would sit in the back of your parents car at night hearing this song 😔,positive
555,life was so different when this came out wish that one day passenger listens to my music and we make hit song together god bless everyone better days are coming,positive
556,this song was played too much and maked me bored but im still here,neutral
557,wish could hug everyone in the comments sections its so depressing and comforting at the same time,positive
558,this song makes my heart cry and dont even have heart,positive
559,man remember this song playing on the radio when was kid coming home late at night those are nostalgic feelings and memories this song is part of many of my amazing childhood memories,positive
560,if youre watching this in youre legend,positive
561,this song gives me melancholy from the youtube before when didnt ave controversy gossip or toxcicity what good times,positive
562,this is how many people still watching this on quarantine,neutral
563,why does this guy not sound like what he looks like at all,negative
564,this songs hits different when you just broke up,negative
565,lets see how many people are watching this during the quarantine,neutral
566,be honest we searched for this,positive
567,love how this song was years ago and people are still commenting,neutral
568,if youre here in you are true legend,positive
569,just think how many people come here everyday,neutral
570,with years passed you still come here to watch this legendary creation again and again then my friend you are legend yourself,positive
571,that random person who liked my comments may you and your parents live more than years god bless you,positive
572,the saddest part of life is when the person who gave you the best memories becomes memory,neutral
573,the song reminds me of the old days when my brother and used to sing along and laugh today each of us goes our own way ,neutral
574,this song brings me back to the simpler times remember listening to this in the car with my mom singing along to this song with my best friend and using the ipad to play this in my room miss that time when everything was happy and only cried when lost my stuffed animal stay safe stay happy loves corona isnt the only thing killing people nowadays,positive
575,idk somehow the songs kinda feel like its about me letting my girl to go to have better life,neutral
576,this song will never grow old,positive
577,glad they made this song it reminds me my bestfriend hes like brother to me edit he died on car accident days ago,neutral
578,dear stranger who ever is reading this may your mother and father live for years,positive
579,fun fact nobody cares which year you are watching this,neutral
580,miss the old days with this music and avicii and so many other amazing artists not this modern day ixine crap,positive
581,whos here from seth everman cause they had this melody stuck in their head,positive
582,almost years got completed but this song never get old,positive
583,have been looking for this for years now,neutral
